BCI-AV#,Blissymbol,English,Derivation - explanation,POS,Swedish,Derivation - explanation svenska ,Norwegian,Derivation - explanation Norwegian ,Finnish,Hungarian,German,Dutch,Afrikaans,Russian,Icelandic,Lithuanian,Latvian,Polish,French,Spanish,Portugese,Italian,Danish,WinBliss,
15922,,open-(to),(opening + action indicator),RED,öppna,(opening + action indicator),åpne,,"avata, aukaista","nyitni, kinyitni","öffnen, aufmachen",openen,oop (om te),открывать,opna,"atidaryti, atverti",atvērt,otwierać,ouvrir,abrir,abrir,aprire,"åbner, åbne",N#1#3#0#0#8#17#9##0#4*&V#5#1#0#3#4#20#5##0#4*%£,
15923,,opening,"(enclosure, open at the top) - Character",YELLOW,öppning,"(enclosure, open at the top)  - Character",åpning,,avaus,"nyílás, nyitás, kinyitás",Öffnung,"opening, gat","opening, gat","открытость, отверстие",opnun,atidarymas,"sprauga, atstarpe, atvere",otwarcie,ouverture,abertura,abertura,"apertura, buco","åben, begyndelse",N#1#3#0#0#8#33#9##0#4*%£,
15924,,operation,(to cut + medical),YELLOW,operation,(to cut + medical),operasjon,,leikkaus,"műtét, operáció",Operation,operatie,operasie,операция,aðgerð,operacija,operācija,operacja,opération chirurgicale,operación,operação,operazione,operation,T#4#1#0#0#12#29#13##0#4*&W#6#2#0#4#8#33#9##0#4*&A#1#3#0#10#8#39#9##0#4*&W#4#2#0#11#8#40#9##0#4*%£,
15925,,opinion,(mind + mouth: expression of what one thinks) - Character (superimposed),YELLOW,"åsikt, mening",(mind + mouth: expression of what one thinks)  - Character (superimposed),mening,,mielipide,"vélemény, nézet",Meinung,mening,"opinie, mening","мнение, взгляд, убеждение",álit,"nuomonė, požiūris","domas, uzskati, viedoklis",opinia,"opinion, avis",opinión,opinião,opinione,"mening, udtalelse",J#1#1#0#0#8#31#9##0#4*&H#2#1#0#2#10#33#11##0#4*%£,
15926,,"opossum,possum",(marsupial_(animal) + night: marsupial that comes out at night),YELLOW,"opossum, pungråtta",(marsupial + night: marsupial that comes out at night),"pungrotte, opossum",,"opossumi, pussirotta",oposszum,Opossum,buidelrat,buidelrot,опоссум,Ópossum,sterblinė žiurkė (oposumas),oposums,opos,opossum,"zarigüeya, comadreja",sarigueia,opossum,pungrotte,V#2#1#0#0#12#23#13##0#4*&W#4#1#0#0#12#23#13##0#4*&V#2#1#0#4#12#27#13##0#4*&J#1#3#0#10#12#33#13##0#4*&W#4#1#0#20#16#43#17##0#4*&J#1#2#0#24#8#47#9##0#4*&K#3#2#0#24#8#47#9##0#4*%£,
15927,,"opposite_meaning,opposite_of,opposite",(up + down [combination]: up is the opposite of down. The symbol is placed before a second symbol to create an antonym or meaning that is the opposite of that of the second symbol.) - Character,GRAY,"motsatt betydelse, motsats",(combination of up and down: up is the opposite of down. The symbol is placed before a second symbol to create an antonym or meaning that is the opposite of that of the second symbol.)  - Character,motsatt mening,,vastakohta,"ellenkező értelem, ellentéte, ellenkezője valaminek","Gegenteil, gegensätzliche Bedeutung",tegenovergestelde,teenoorgeste,противоположность,andstætt við,"priešinga reikšmė, priešingybė","pretējs, pretējas nozīmes","przeciwieństwo, odmienne od","contraire de, opposé à","significado opuesto, opuesto a",oposto,"opposto, significato opposto","modsat mening, overfor",V#3#1#0#0#8#27#9##0#4*&W#5#2#0#2#14#29#15##0#4*%£,
15928,,"opposition,counter_purpose","(less_than_(relation) + less_than_(relation), pointing in the opposite direction from the purpose symbol) - Character (sequenced)",YELLOW,"motstånd, motsatt avsikt","(less_than_(relation) + less_than_(relation), pointing in the opposite direction from the purpose symbol)  - Character (sequenced)","motstand, opposisjon",,"vastustus, vastarinta","ellenállás, ellenzés, ellenkezés, szembenállás",Gegenteil,"tegenstelling, tegengesteld doel",opposisie teenstellende aanwyser doel,"сопротивление, возражение","mótstaða, andstaða","opozicija, priešingas ketinimas, pasipriešinimas, prieštaravimas","pretestība, pretošanās","przeciwieństwo, opozycja",opposition,"oposición, propósito contrario",oposição,"opposizione, scopo di replica","modstand, opposition",R#1#4#0#0#8#29#9##0#4*&R#1#4#0#4#8#33#9##0#4*%£,
15929,,or,"(by,by_means_of,of (relation [half-sized], pointing backward) + dot: the second alternative, the reverse of either) - Character (superimposed)",WHITE,"eller, antingen eller","(by,by_means_of,of (relation [half-sized], pointing backward) + dot: the second alternative, the reverse of either)  - Character (superimposed)","eller, enten eller",,"tai, vai, eli",vagy,oder,of,of,или,eða,"ar, arba","vai, jeb",lub,ou,o,ou,o,eller,R#2#4#0#0#10#33#11##0#4*&Q#1#1#0#2#12#35#13##0#4*%£,
15930,,oral_sex,(to combine + genitals + mouth),YELLOW,"munsex, oralt samlag",(to combine + genitals + mouth),"munnsex, oralsex",,suuseksi,orális szex,"Oralverkehr, Oralsex",orale seks,orale seks,оральный секс,munnmök,oralinis seksas,orālais sekss,seks oralny,rapport bucco-génital,sexo oral,sexo oral,sesso orale,"oralsex, mund sex",H#4#1#0#0#10#23#11##0#4*&W#2#1#0#8#16#31#17##0#4*&W#4#2#0#8#8#31#9##0#4*&R#2#4#0#9#10#32#11##0#4*&H#2#1#0#14#10#37#11##0#4*%£,
15931,,orange_(bci),(colour + mouth + sun: combination of red and yellow) (BCI) SYMBOL SYNONYM ,WHITE,orange,(colour + mouth + sun: combination of red and yellow) (BCI) SYMBOL SYNONYM ,oransje,,oranssi,"narancsszín, narancssárga",orange,oranje,oranje (bci),оранжевый,appelsínugulur,oranžinė,oranža krāsa,pomarańczowy (BCI),orange_(bci),naranja (BCI),laranja,arancione,orange,H#2#1#0#0#10#27#11##0#4*&W#2#1#0#0#16#27#17##0#4*&Q#1#1#0#2#12#29#13##0#4*&H#2#1#0#6#10#33#11##0#4*&H#3#1#0#12#8#39#9##0#4*%£,
15932,,orange_(ckb),(colour + 2) (CKB) SYMBOL SYNONYM,WHITE,orange (CKB),(colour + 2) (CKB) SYMBOL SYNONYM,oransje (CKB),,oranssi,"narancsszín, narancssárga (régi CKB-jelkép)",orange,oranje (CKB),oranje (ckb),оранжевый,appelsínugulur,oražinė (ckb),oranžs,pomarańczowy (CKB),orange_(ckb),naranja (CKB),laranja,arancione,orange,H#2#1#0#0#10#29#11##0#4*&W#2#1#0#0#16#29#17##0#4*&Q#1#1#0#2#12#31#13##0#4*&Y#3#1#0#6#12#39#13##0#4*%£,
15933,,"orange,citrus_fruit",(fruit + pictograph of segments) - Character (superimposed),YELLOW,"apelsin, citrusfrukt",(fruit + pictograph of segments)  - Character (superimposed),"appelsin, sitrusfrukt",,"appelsiini, sitrushedelmä","narancs, citrusféle","Orange, Apfelsine, Zitrusfrucht","citrusvrucht, appelsien (Vl), sinaasappel","lemoen, sitrus vrug",апельсин,appelsína,"apelsinas, citrusinis vaisius",apelsīns,"pomarańcza, owoc cytrusowy","orange (fruit), agrume","naranja, fruta cítrica",laranja,arancio,appelsin,I#1#1#0#0#12#31#13##0#4*&K#4#4#0#1#12#32#13##0#4*&K#2#1#0#2#8#33#9##0#4*&K#4#2#0#2#12#33#13##0#4*%£,
15934,,orchard,(grove + fruit),YELLOW,fruktträdgård,(grove + fruit),frukthage,,hedelmätarha,"gyümölcsös, gyümölcsöskert",Obstgarten,boomgaard,boord,фруктовый сад,plantekra,"sodas, vaisių sodas",augļudārzs,sad,verger,huerto,pomar,frutteto,"frugthave, plantage",T#4#1#0#0#12#25#13##0#4*&K#2#3#0#6#8#31#9##0#4*&K#2#4#0#10#8#35#9##0#4*&W#4#2#0#10#8#35#9##0#4*&H#2#1#0#16#12#41#13##0#4*&K#2#1#0#18#8#43#9##0#4*%£,
15935,,"organize,arrange-(to)",(to plan + many + thing + action indicator: to make a system from many things),RED,"ordna, organisera",(to plan + many + thing + action indicator: to make a system from many things),"organisere, arrangere",,"järjestää, oraganisoida","szervezni, megszervezni, elintézni, elrendezni","organisieren, einsortieren","organiseren, plannen","organiseer, reël (om te)",организовывать,skipuleggja,"organizuoti, planuoti",organizēt,zorganizować,organiser,organizar,organizar,"organizzare, ordinare","organiserer, arrangerer, arkivere",J#1#1#0#0#8#25#9##0#4*&P#1#1#0#0#12#25#13##0#4*&V#5#1#0#3#4#28#5##0#4*&T#4#1#0#10#12#35#13##0#4*&L#2#1#0#16#10#41#11##0#4*%£,
15936,,orgasm,(ecstasy + genitals) ,YELLOW,orgasm,(ecstasy + genitals) ,orgasme,,orgasmi,"orgazmus, szexuális kielégülés",Orgasmus,orgasme,orgasme,оргазм,fullnæging,orgazmas,orgasms,orgazm,orgasme,orgasmo,orgasmo,orgasmo,orgasme,B#1#1#0#0#8#25#9##0#4*&Y#22#1#0#10#10#35#11##0#4*&Y#22#1#0#12#10#37#11##0#4*&Y#22#1#0#14#10#39#11##0#4*&W#2#1#0#16#16#41#17##0#4*&W#4#2#0#16#8#41#9##0#4*&R#2#4#0#17#10#42#11##0#4*%£,
15937,,ostrich,(bird + to walk: bird that walks or runs but does not fly),YELLOW,struts,(bird + to walk: bird that walks or runs but does not fly),struts,,strutsi,strucc,Strauß,struisvogel,volstruis,страус,strútur,strutis,strauss,struś,autruche,avestruz,avestruz,struzzo,struds,K#2#2#0#0#8#25#9##0#4*&V#5#1#0#3#12#28#13##0#4*&K#2#1#0#4#8#29#9##0#4*&V#1#1#0#10#8#35#9##0#4*&W#2#1#0#10#16#35#17##0#4*&W#2#1#0#18#16#43#17##0#4*%£,
15938,,"other,another_(person)",(person [modification] + 2: referring to a second person),BLUE,annan (person),(person [modification] + 2: referring to a second person),annen (person),,toinen,"más, másik egy másik személy","(ein) Anderer, (eine) Andere, (jemand) anders",ander (persoon),ander (persoon),другой,annar,kitas (asmuo),"cits, cita",otolaryngolog,autre (personne),otro,outro,altro,anden,W#4#2#0#0#8#31#9##0#4*&Y#3#1#0#2#12#39#13##0#4*%£,
15939,,"our,ours-(feminine)","(female + 1 + belongs to + plural indicator: first person plural (f.), possessive)",BLUE,"vår, vårt, våra (fem.)","(female + 1 + belongs to + plural indicator: first person plural (f.), possessive)","vår, vårt, våre (hunkjønn)",,"meidän (naiset), meidän (fem.)",mien (nőnem),"unser, unser, unsere, unser (weiblich)","ons, onze (vrouwelijk)","ons, ons s'n (vroulik)","наш, наша, наше, наши (жен.)",okkar,,"mūsu, mūsējā","nasz(rodzaj męski, l. mn. „mieć”)","notre, nos, nôtre (fém.)","nuestra, nuestras (femenino)","nosso, nossa","nostro, il nostro, le nostre, la nostra, i nostri",vores,V#2#1#0#0#12#31#13##0#4*&W#2#1#0#0#16#29#17##0#4*&T#5#1#0#1#4#30#5##0#4*&W#2#2#0#2#8#33#9##0#4*&Y#2#1#0#6#12#37#13##0#4*&T#2#1#0#10#14#39#15##0#4*%£,
15940,,"our,ours-(masculine)","(male + 1 + belongs to + plural indicator: first person plural (m.), possessive)",BLUE,"vår, vårt, våra (mask.)","(male + 1 + belongs to + plural indicator: first person plural (m.), possessive)","vår, vårt, våre (hankjønn)",,"meidän (miehet), meidän (mask.)",mienk (hímnem),"unser, unser, unsere, unser (männlich)","ons, onze (mannelijk)","ons, ons s'n (manlik)","наш, наша, наше, наши (муж.)",okkar,,"mūsu, mūsējais",nasz (l. mn. „mieć”),"notre, nos, nôtre (masc.)","nuestro, nuestros (masculino)","nosso, nossa","nostro, il nostro, le nostre, la nostra, i nostri",vores,V#2#1#0#0#12#31#13##0#4*&T#5#1#0#1#4#30#5##0#4*&W#2#2#0#2#8#33#9##0#4*&Y#2#1#0#6#12#37#13##0#4*&T#2#1#0#10#14#39#15##0#4*%£,
15941,,"our,ours","(we + belongs to + plural indicator: first person plural, possessive)",BLUE,"vår, vårt, våra","(we + belongs to + plural indicator: first person plural, possessive)","vår, vårt, våre",,meidän,mienk,"unser, unser, unsere, unser","ons, onze","ons, ons s'n","наш, наша, наше, наши",okkar,,"mūsu, mūsējais, mūsējā","nasz, nasza","notre, nos, nôtre","nuestro, nuestros","nosso, nossa","nostro, il nostro, le nostre, la nostra, i nostri",vores,S#1#1#0#0#8#29#9##0#4*&T#5#1#0#1#4#30#5##0#4*&Y#2#1#0#6#12#37#13##0#4*&T#2#1#0#10#14#39#15##0#4*%£,
15942,,"out,exterior,external,outside","(enclosure + dot, outside the enclosure) - Character (sequenced)",WHITE,"ute, utanför","(enclosure + dot, outside the enclosure)  - Character (sequenced)","ute, utenfor",,"ulkona, ulkopuolella","kint, kívül, külső, kintlévő, kívüllévő, kül-","außerhalb, außen, draußen","buiten, uit","buite, eksterne","снаружи, вне",fyrir utan,,"aiz, ārpusē, ārpuses","na zewnątrz, poza","dehors, extérieur","afuera, exterior, externo",lá fora,fuori,"ud, ude, udenfor, udenfor",L#1#1#0#0#8#31#9##0#4*&Q#1#1#0#10#12#41#13##0#4*%£,
15943,,"out_of,exit_(forward)",(enclosure + forward: the arrow is moving out of the enclosure) - Character (superimposed),WHITE,"ut, ur, utgång",(enclosure + forward: the arrow is moving out of the enclosure)  - Character (superimposed),"ut av, utgang (forover)",,"ulos, pois jostakin","ból, -ből, kifelé (kifelé irányuló)","aus, heraus, hinaus","uit (voorwaarts), uitgang (voorwaarts), eruit (voorwaarts)",uit uitgaan uitgang (vorentoe),"из, наружу","út úr, útgangur (áfram)",,"ārā, iziet","wyjście, opuszczenie (w przód)",sortie,"fuera de (hacia delante), salida (hacia delante)",para fora à direita,fuori (da) (verso destra),"ud, ud af, ud, udenfor",L#1#1#0#0#8#13#9##0#4*&F#1#2#0#4#10#17#11##0#4*%£,
15944,,"out_of,exit_(downward)",(enclosure + downward) - Character (superimposed),WHITE,"ut, ur, nedgång",(enclosure + downward)  - Character (superimposed),"ut av, utgang (nedover)",,"alaspäin, ulos","ból, -ből, lefelé (lefelé irányuló)","hinaus, Eingang","uit (neerwaarts), uitgang (neerwaarts), eruit (neerwaarts)",out uitgang (afwaarts),наружу вниз,"út úr, útgangur (að neðanverðu)",,"ārā, noiet","wyjście, opuszczenie (w dół)",sortie (vers le bas),"fuera de (hacia abajo), salida (hacia abajo)",sair para baixo,fuori (da) (discendente),ud,L#1#1#0#0#8#13#9##0#4*&F#1#3#0#2#12#15#11##0#4*%£,
15945,,"outing,excursion",(legs and feet + out of),YELLOW,"utflykt, utfärd",(legs and feet + out of),"tur, utflukt",,"ulkoilu, retki","kirándulás, séta ","Ausflug, Spaziergang, Exkursion","uitstapje, excursie","uitstappie, ekskursie","прогулка, экскурсия",skoðunarferð,,"izbraukums, ekskursija ",wycieczka,"sortie, excursion",excursión,visita de estudo,gita,"tur, udflugt, udflugt",V#1#1#0#0#8#25#9##0#4*&W#2#1#0#0#16#25#17##0#4*&W#2#1#0#8#16#33#17##0#4*&L#1#1#0#14#8#45#15##0#4*&F#1#2#0#18#10#49#11##0#4*%£,
15946,,"oval,ellipse_(shape)",(shape + oval),YELLOW,"oval, ellips",(shape + oval),oval,,soikio,"ovális, tojásdad, elliptikus (fn.)",oval,ovaal,"ovaal, ellips",овал,sporöskjulaga,,"ovāls, elipse",owal (przedmiot owalny),ovale (figure géométrique),"óvalo, elipse",oval,ovale,oval,H#2#1#0#0#10#25#11##0#4*&Q#1#1#0#2#12#27#13##0#4*&L#2#1#0#6#10#31#11##0#4*&K#1#1#0#12#8#37#9##0#4*&K#1#3#0#12#14#37#15##0#4*&W#2#2#0#12#10#37#11##0#4*&W#2#2#0#16#10#41#11##0#4*%£,
15947,,ovary,(container + egg),YELLOW,äggstock,(container + egg),"eggstokk, ovarie",,munasarja,"petefészek, ovárium",Eierstock,eierstok,eierstok,яичник,eggjastokkur,kiaušidė,olnīca,jajnik,ovaire,ovario,ovário,ovaie,æggestok,J#1#3#0#0#12#23#13##0#4*&H#3#1#0#10#8#33#9##0#4*&K#4#1#0#12#11#35#12##0#4*&K#4#3#0#12#12#35#13##0#4*%£,
15948,,"over,above,superior",(dot + horizontal reference line: the dot is over or above the line) - Character (superimposed),WHITE,"över, ovanför",(dot + horizontal reference line: the dot is over or above the line)  - Character (superimposed),"over, ovenfor",,"yli, yläpuolella, yllä","fent, felette, felső, felüllévő ","über, oberhalb, über","boven, over","bo-oor, bo, hoër",над,"fyrir ofan, æðri, æðra",,virs,nad,au-dessus,encima,sobre,sopra,"over, ovenfor, over",W#4#1#0#0#12#25#13##0#4*&Q#1#1#0#4#10#29#11##0#4*%£,
15949,,"owl,night_bird",(bird + night),YELLOW,"uggla, uv",(bird + night),"ugle, nattfugl",,pöllö,"bagoly, éjszakai madár",Eule,uil,"uil, nag voël","сова, сыч, филин ",ugla,pelėda,pūce,"sowa, ptak nocny","hibou, chouette, oiseau nocturne",lechuza,coruja,gufo,ugle,K#2#2#0#0#8#29#9##0#4*&V#5#1#0#3#12#32#13##0#4*&K#2#1#0#4#8#33#9##0#4*&W#4#1#0#10#16#39#17##0#4*&J#1#2#0#14#8#43#9##0#4*&K#3#2#0#14#8#43#9##0#4*%£,
15950,,"own,possess-(to)","(ownership,possession + action indicator: CKB writes ""an addition, a gain, a plus of some very earthly (material) thing”)",RED,äga,"(ownership,possession + action indicator: CKB writes ""an addition, a gain, a plus of some very earthly (material) thing”)",eie (å),,omistaa,"tulajdonolni, tulajdonul bírni, rendelkezni valamivel",besitzen,bezitten,besit (om te),"владеть, обладать",á,turėti,"piederēt, būt","mieć, posiadać",posséder,poseer,possuir,possedere,ejer,W#4#1#0#0#12#33#13##0#4*&W#4#1#0#0#16#33#17##0#4*&V#5#1#0#3#4#36#5##0#4*&W#4#2#0#4#8#37#9##0#4*%£,
15951,,ox,(bovine + work: horned animal commonly used to assist with heavy labour),YELLOW,oxe,(bovine + work: horned animal commonly used to assist with heavy labour),okse,,"härkä, juhta",ökör,Ochse,os,os,"вол, бык",uxi,"jautis, bulius (darbinis)",vērsis,wół,boeuf,buey,boi,bue,okse,V#2#1#0#0#12#25#13##0#4*&W#4#1#0#0#12#25#13##0#4*&K#1#3#0#4#10#29#11##0#4*&V#2#1#0#4#12#29#13##0#4*&V#2#1#0#10#8#35#9##0#4*&V#2#1#0#10#12#35#13##0#4*%£,
15952,,"oyster,clam,mussel",(pictograph of shell + water) - Character (superimposed),YELLOW,"mussla, ostron",(pictograph of shell + water)  - Character (superimposed),"musling, østers",,"osteri, simpukka","osztriga, kagyló","Auster, Muschel",oester,"oester, gapermossel, mossel","устрица, моллюск",ostra,"austrė, moliuskas, midija","austere, ēdamais gliemezis","ostryga, małż","huître, coquillage","ostra, almeja",ostra,ostrica,"musling, østers",A#1#2#0#0#17#25#16##0#4*&K#3#1#0#0#12#25#13##0#4*&K#3#3#0#0#14#25#15##0#4*&W#4#1#0#0#14#25#15##0#4*%£,
15953,,"pail,bucket",(pictograph: symbol suggests a pail with a handle) - Character,YELLOW,"hink, korg, spann",(pictograph: symbol suggests a pail with a handle)  - Character,"spann, bøtte, kurv",,"sanko, ämpäri","vödör, csöbör",Eimer,emmer,emmer,ведро,fata,kibiras,"spainis, liels kauss",wiadro,seau,cubo,balde,secchio,spand,W#4#1#0#0#12#31#13##0#4*&W#10#3#0#0#12#33#13##0#4*&K#1#1#0#2#10#33#11##0#4*&W#2#1#0#2#16#33#17##0#4*&W#10#1#0#6#12#39#13##0#4*%£,
15954,,"pain,suffering","(feeling + sick: discomfort that makes one ""draw up one's knees"". The symbol usually represents physical pain but also can be used to represent emotional distress and suffering.)",YELLOW,smärta,"(feeling + sick: discomfort that makes one ""draw up one's knees"". The symbol usually represents physical pain but also can be used to represent emotional distress and suffering.)","smerte, lidelse",,"kipu, särky, tuska","fájdalom, fizikai szenvedés","Schmerz, starker Schmerz",pijn,"pyn, ly, lyding",боль,sársauki,"skausmas, kančia","sāpes, ciešanas","ból, cierpienie","douleur, souffrance",dolor,dores,dolore,"smerte, skarp smerte",B#1#1#0#0#8#31#9##0#4*&R#1#1#0#8#12#39#13##0#4*&W#2#2#0#16#12#47#13##0#4*%£,
15955,,"painful,painfully,sore",(pain + description indicator),GREEN,"ont, smärtsam",(pain + description indicator),"vond, smertefull",,"tuskallinen, kipeä, sairas","fájdalmas, érzékeny, sebes, sérült",schmerzhaft,pijnlijk,"seer, pyn, lyding",болезненный,illt,"skausmingas, skaudus","sāpīgs, sāpīgi","bolesne, sprawiające cierpienie","douloureux, pénible",doloroso,doloroso,doloroso,ondt,B#1#1#0#0#8#19#9##0#4*&V#5#3#0#3#4#22#5##0#4*&R#1#1#0#8#12#37#13##0#4*&W#2#2#0#16#12#45#13##0#4*%£,
15956,,"paint,dye",(chemical product + colour + liquid),YELLOW,färg (målarfärg etc),(chemical product + colour + liquid),maling,,maali,festék,"Farbe, Färbung",verf,"verf, kleursel",краска,"málning, litarefni","dažai, dažymas, skaistalai","krāsa, krāsviela","farba, barwnik","peinture, teinture",pintura,tinta,vernice,"maling, farve, malerspand & pensel",W#8#2#0#0#8#23#9##0#4*&L#2#1#0#6#12#29#13##0#4*&W#2#2#0#8#8#31#9##0#4*&H#2#1#0#12#10#15#11##0#4*&W#2#1#0#12#16#15#17##0#4*&Q#1#1#0#14#12#17#13##0#4*&A#1#2#0#18#11#41#12##0#4*%£,
15957,,"paint,dye-(to)",(paint + action indicator),RED,"måla, färga",(paint + action indicator),"male, farge (å)",,maalata,"festeni, be//ki/megfestenei, színezni","anstreichen, malen",verven,verf (om te),красить,"lita, mála","dažyti, tapyti","krāsot, nokrāsot","farbować, barwić, malować",peindre,"pintar, teñir",pintar,dipingere (in generale),"maler, male",W#8#2#0#0#8#27#9##0#4*&L#2#1#0#6#12#33#13##0#4*&V#5#1#0#7#4#30#5##0#4*&W#2#2#0#8#8#35#9##0#4*&H#2#1#0#12#10#39#11##0#4*&W#2#1#0#12#16#39#17##0#4*&Q#1#1#0#14#12#41#13##0#4*&A#1#2#0#18#11#45#12##0#4*%£,
15958,,painter,(person + paint [contraction]),BLUE,målare,(person + paint [contraction]),maler,,maalari,"festő, mázoló","Maler, Anstreicher, Malermeister, Malermeisterin, Kunstmaler",schilder,"skildenaar, skilder, verwer","художник, живописец",málari,dažytojas,gleznotājs,malarz,peintre,pintor,pintor,"pittore, imbianchino, pittrice",maler,S#1#1#0#0#8#25#9##0#4*&H#2#1#0#6#10#31#11##0#4*&W#2#1#0#6#16#31#17##0#4*&Q#1#1#0#8#12#33#13##0#4*&A#1#2#0#12#11#37#12##0#4*%£,
15959,,pair,(2 + thing indicator: two items) - (character with thing indicator),YELLOW,par (ej mänskligt),(2 + thing indicator: two items)  - (character with thing indicator),par,,pari,"pár, egy pár (valamiből)","Paar, Pärchen",paar,paar,пара,par,pora,pāris,"para (dwie osoby, dwa przedmioty)",paire,par,par,"coppia, paio",par,L#3#1#0#0#4#29#5##0#4*&Y#3#1#0#0#12#35#13##0#4*%£,
15960,,palm,(pictograph: the symbols suggests a tree with curved fronds) - Character,YELLOW,palm,(pictograph: the symbols suggests a tree with curved fronds)  - Character,palme,,palmu,pálma,Palme,palmboom,palmboom,пальма,"pálmi, pálmatré",palmė,palma,palma,palmier,palma,palmeira,albero della palma,palme,K#1#1#0#0#8#31#9##0#4*&K#1#1#0#4#8#35#9##0#4*&W#3#2#0#4#10#35#11##0#4*%£,
15961,,"pants,jeans,slacks,trousers",(clothing + leg: clothing that covers the legs),YELLOW,"byxor, jeans",(clothing + leg: clothing that covers the legs),"bukser, jeans",,housut,"nadrág, farmer, pantalló","Hose (lang), Jeans",broek,"jeans, langbroek, broek",брюки,"buxur, gallabuxur","kelnės, džinsai","bikses, džinsi, platas bikses",spodnie,pantalon,"pantalones, tejanos, jeans",calças,pantaloni,"benklæder, pants",C#1#1#0#0#8#19#9##0#4*&R#1#1#0#0#8#19#9##0#4*&V#1#1#0#10#8#23#9##0#4*&W#2#1#0#10#16#23#17##0#4*&R#2#4#0#17#10#30#11##0#4*&W#2#1#0#18#16#31#17##0#4*%£,
15962,,"paper,card,page",(pictograph: symbol suggests a sheet of paper or a page of a book) See also: book 12875 - Character,YELLOW,"papper, sida",(pictograph: symbol suggests a sheet of paper or a page of a book) See also: book 12875  - Character,"papir, side, ark",,"paperi, sivu","papír, papírlap, cédula, oldal","Papier, Seite","papier, blad (papier)","papier, kaart, bladsy",бумага‚ страница,"pappír, kort, blaðsíða","popierius, kortelė, puslapis","papīrs, kartiņa, lappuse","kartka, papier, dokument, strona","papier, page, feuille","papel, tarjeta, página",folhas de papel,pagina,"papir, ark, side, papir",O#2#1#0#0#8#11#9##0#4*&W#2#1#0#0#16#11#17##0#4*%£,
15963,,"parakeet,budgie",(parrot + little: small bird that can be trained to talk),YELLOW,undulat (etc),(parrot + little: small bird that can be trained to talk),"undulat, parakitt",,"papukaija, undulaatti","törpepapagáj, arapapagáj","Sittich, Wellensittich",parkiet,"parakiet, budgie, parkiet",попугай волнистый,páfagaukur,papūgėlė,mazs papagailis,papużka,perruche,perico,periquito,pappagallino,undulat,K#2#2#0#0#8#27#9##0#4*&V#5#1#0#3#12#30#13##0#4*&K#2#1#0#4#8#31#9##0#4*&H#2#1#0#8#10#35#11##0#4*&Y#21#1#0#14#16#41#17##0#4*&W#2#1#0#16#12#43#13##0#4*&W#2#1#0#16#16#43#17##0#4*&W#2#2#0#18#12#45#13##0#4*%£,
15964,,parallel,(line + line: international mathematical symbol) - Character,YELLOW,parallell,(line + line: international mathematical symbol)  - Character,parallell,,yhdensuuntainen,párhuzamos,parallel,parallel,parralel,параллель,samhliða,"lygiagretė, paralelė",paralēls,równolegle,parallèle,paralelo,paralelo,parallelo,parallel,W#4#2#0#0#8#31#9##0#4*&W#4#2#0#2#8#33#9##0#4*%£,
15965,,paratrooper,(soldier + from_sky: soldier trained to jump down from the sky using a parachute),BLUE,fallskärmsjägare,(soldier + from_sky: soldier trained to jump down from the sky using a parachute),"fallskjermjeger, fallskjermsoldat",,laskuvarjo-sotilas,ejtőernyős,Fallschirmjäger,valschermspringer (leger),valskermtroep,парашютист,fallhlífarstökkvari,"desantininkas, parašiutininkas",izpletņlēcējs,spadochroniarz (żołnierz),parachutiste (militaire),paracaidista,páraquedista,paracadutista,faldskærmssoldat,S#1#1#0#0#8#27#9##0#4*&T#4#1#0#6#12#33#13##0#4*&T#4#1#0#10#8#37#9##0#4*&T#4#1#0#14#12#41#13##0#4*&W#4#1#0#20#8#47#9##0#4*&F#1#3#0#22#8#49#9##0#4*%£,
15966,,"parcel,package",(pictograph) - Character,YELLOW,paket,(pictograph)  - Character,pakke,,paketti,csomag,Paket,"pakje, pak","pakkie, pakket","пакет, посылка",pakki,siuntinys,"sūtijums, paciņa, paka","paczka, ładunek","colis, paquet",paquete,encomenda,pacco postale,pakke,O#1#4#0#0#8#9#9##0#4*&R#1#2#0#0#8#9#9##0#4*&W#2#1#0#4#8#13#9##0#4*&W#2#1#0#4#16#13#17##0#4*&O#1#2#0#8#8#17#9##0#4*&R#1#4#0#8#8#17#9##0#4*%£,
15967,,"pardon,what_did_you_say","(what,question_mark + to say + action indicator)",GRAY,"hur sa, vad","(what,question_mark + to say + action indicator)","hva sa du, hva (utsagn)",,mitä sanoit?,"Mit mondtál? Pardon? Bocsánat, mit mondott?","bitte?, Entschuldigung","wat zeg je?, sorry (herhalen van boodschap)",verskoon my,что вы сказали? что?,hvað sagðirðu?,"atsiprašau, ką sakėte?","piedodiet, ko jūs teicāt?","Co mówiłaś, co mówiłeś? Słucham?",pardon (question),"perdón, ¿qué dijo?",se faz favor,mi scusi,"hvad behager, hvad siger du, tillader (du, De, I)",Y#24#1#0#0#10#31#11##0#4*&H#2#1#0#4#10#35#11##0#4*&V#5#1#0#5#4#36#5##0#4*%£,
